district,year,living_waste,living_recycle,living_incineration,living_landfill,industrial_waste,construction_waste,designated_waste,per_capita_living_waste,total_waste,total_recycle,total_incineration,total_landfill,household_waste,biz_nonbiz_waste,recycle_rate,incineration_rate,landfill_rate,total_recycle_rate,total_incineration_rate,total_landfill_rate
관악구,2023,146875,97385,31360,18067,857,250737,2818,0.81,401288,349773,32879,18434,116258.0,30617.0,0.663,0.2135,0.123,0.8716,0.0819,0.0459
관악구,2024,149864,111384,24650,13830,749,194682,2793,0.83,348087,307579,26223,14072,118641.0,31223.0,0.7432,0.1645,0.0923,0.8836,0.0753,0.0404
서초구,2020,184761,109206,46581,28975,2669,671999,10941,1.18,870369,785848,52896,30778,85117.4,99643.6,0.5911,0.2521,0.1568,0.9029,0.0608,0.0354
서초구,2021,177110,108844,49351,18095,9292,1413368,12439,1.17,1612209,1526715,56482,27389,81108.9,96001.1,0.6146,0.2786,0.1022,0.947,0.035,0.017
서초구,2022,180281,112992,47902,17609,6002,839794,15586,1.21,1041663,960238,55398,23526,81290.0,98991.0,0.6268,0.2657,0.0977,0.9218,0.0532,0.0226
서초구,2023,178090,111677,48674,16791,14327,1143517,11810,1.18,1347744,1272396,56120,17252,80399.7,97690.3,0.6271,0.2733,0.0943,0.9441,0.0416,0.0128
서초구,2024,180257,113288,47403,16181,4951,1027905,11681,1.19,1224794,1149436,54059,17004,81578.4,98678.6,0.6285,0.263,0.0898,0.9385,0.0441,0.0139
강남구,2020,254317,166714,74305,12820,149499,1611460,18547,1.28,2033823,1865166,84116,32624,99541.2,154775.8,0.6555,0.2922,0.0504,0.9171,0.0414,0.016
강남구,2021,248001,161619,73051,13244,150248,1132603,20172,1.26,1551024,1364019,85943,25085,99062.4,148938.6,0.6517,0.2946,0.0534,0.8794,0.0554,0.0162
강남구,2022,263297,163224,81017,16579,148711,933301,19656,1.35,1364964,1184575,92695,26400,104587.0,158710.0,0.6199,0.3077,0.063,0.8678,0.0679,0.0193
강남구,2023,261425,161437,85097,14630,154303,826993,18166,1.3,1260886,1049544,95511,23987,108121.4,153303.6,0.6175,0.3255,0.056,0.8324,0.0757,0.019
강남구,2024,266815,169222,85233,10546,151389,631516,18614,1.29,1068334,880134,92563,21239,113293.1,153521.9,0.6342,0.3194,0.0395,0.8238,0.0866,0.0199
송파구,2020,266247,198010,35498,32302,31090,1253053,13128,1.08,1563519,1445356,47173,60628,164690.5,101556.5,0.7437,0.1333,0.1213,0.9244,0.0302,0.0388
송파구,2021,253209,173237,40967,31434,37277,807419,11586,1.04,1109491,991123,51880,57750,157392.2,95816.8,0.6842,0.1618,0.1241,0.8933,0.0468,0.0521
송파구,2022,301830,177052,39669,33624,70684,526477,10960,1.24,909951,770847,51323,34028,186166.8,115663.2,0.5866,0.1314,0.1114,0.8471,0.0564,0.0374
송파구,2023,262182,156087,39356,24918,83756,329910,10758,1.09,686606,565064,52582,25205,160801.3,101380.7,0.5953,0.1501,0.095,0.823,0.0766,0.0367
송파구,2024,268890,162401,48885,14789,77516,376512,9108,1.12,732026,611677,59733,14974,163570.0,105320.0,0.604,0.1818,0.055,0.8356,0.0816,0.0205
강동구,2020,134696,90881,26954,16699,114885,757613,5259,0.79,1012452,955141,37298,19352,99171.2,35524.8,0.6747,0.2001,0.124,0.9434,0.0368,0.0191
강동구,2021,146616,97802,20752,15911,104025,837179,5639,0.86,1093460,1028941,35152,16939,109386.8,37229.2,0.6671,0.1415,0.1085,0.941,0.0321,0.0155
강동구,2022,126256,90128,19731,16367,105328,521982,4733,0.75,758299,712089,29479,16587,92952.8,33303.2,0.7139,0.1563,0.1296,0.9391,0.0389,0.0219
강동구,2023,122793,87690,20634,14436,95364,371103,4949,0.73,594209,548306,30689,14845,90661.8,32131.2,0.7141,0.168,0.1176,0.9227,0.0516,0.025
강동구,2024,129564,84538,33808,10643,92905,300538,4468,0.74,527475,473385,42576,10795,95625.8,33938.2,0.6525,0.2609,0.0821,0.8975,0.0807,0.0205
