"기준_년분기_코드","행정동_코드","행정동_코드_명","월_평균_소득_금액","소득_구간_코드","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","교육_지출_총금액","유흥_지출_총금액","여가_문화_지출_총금액","기타_지출_총금액","음식_지출_총금액"
"20242","11140","중구","","07","2716766342000","41207950000","9236817000","6325553000","14832447000","409268936000","26224473000","3213919000","2095926423000","73092428000","37437396000"
"20242","11110","종로구","","07","218159962000","16766608000","5509644000","1337319000","23238204000","5722615000","4185653000","4873789000","16481947000","91928179000","48116004000"
"20241","11740","강동구","","07","47972732000","7107608000","800026000","524461000","6822412000","1146403000","2370900000","868298000","19077924000","1328843000","7925857000"
"20241","11710","송파구","","08","121535674000","12308141000","2443117000","1230050000","13058321000","2892252000","3706456000","1490914000","66199985000","2903022000","15303416000"
"20241","11680","강남구","","09","891619082000","13383138000","10716487000","2366098000","44058492000","9433556000","12670878000","3245008000","449409806000","319180911000","27154708000"
"20241","11650","서초구","","09","210907337000","7148080000","1621301000","5031909000","21120946000","1983555000","4603412000","1521039000","91784682000","60529893000","15562520000"
"20241","11620","관악구","","06","39101249000","9323684000","810335000","588656000","5964818000","916897000","4819532000","1592072000","3304057000","1666850000","10114348000"
"20241","11590","동작구","","07","57055275000","7700212000","449656000","472948000","5237730000","29879305000","1559998000","808455000","1491991000","1416659000","8038321000"
"20241","11560","영등포구","","07","87836688000","8491470000","1270442000","914569000","8303477000","26640558000","1308134000","1429827000","15672865000","8577020000","15228326000"
"20241","11545","금천구","","06","24507608000","5053872000","4423365000","463632000","3011057000","1150186000","545363000","551360000","4170722000","685501000","4452550000"
"20241","11530","구로구","","07","508739008000","7777035000","508625000","682983000","7311186000","1315995000","1298218000","921897000","480552224000","1243793000","7127052000"
"20241","11500","강서구","","07","69565836000","10575037000","1961467000","664678000","10398923000","10219835000","2374066000","1420105000","14796796000","5237425000","11917504000"
"20241","11470","양천구","","08","34765680000","8352108000","407723000","373867000","7001712000","1831303000","4765852000","640053000","3452864000","1271368000","6668830000"
"20241","11440","마포구","","08","361470059000","10510629000","2409752000","921175000","6620642000","1429599000","3031970000","2580169000","312999569000","3007567000","17958987000"
"20241","11410","서대문구","","07","36399135000","5606477000","382218000","259815000","17961306000","748877000","1320207000","649015000","1492885000","1102044000","6876291000"
