year,gu,waste_total,waste_per_capita,food_waste_total,recycle_rate,total_pop,households,elderly_ratio,parcel_arrival_total,arrival_per_hh,living_pop_daily_avg,day_night_ratio,biz_total,food_accom_biz,illegal_dumping_count
2023,관악구,146875,402.4,86.0,66.30468085106384,497883,284578,17.15623951811972,6005868.0,21.10447047909536,10977692.33003424,0.8619052692327457,37689,4699,5158
2023,광진구,104709,286.9,83.4,64.38033024859372,351180,170077,16.179452132809384,4558313.0,26.801466394633017,8609339.84398753,0.9514010077315334,33384,3140,2171
2023,구로구,171610,470.2,77.4,69.63988112580853,415651,184096,19.24306689987513,5050578.0,27.434479836606982,9213101.12307077,0.9780370769398408,51955,5848,3891
2023,금천구,101244,277.4,53.1,64.18948283355063,241105,120381,18.805914435619336,3451126.0,28.668361286249493,5199378.435670131,1.1137635729307742,47935,3533,1633
2023,노원구,140139,383.9,111.2,73.26368819529182,502925,217904,19.17224238206492,5579980.0,25.607515236067258,11597635.095992483,0.9098043407647182,38439,6776,3853
2023,도봉구,102431,280.6,74.0,56.691821811756206,309494,138261,22.758437966487232,3242327.0,23.450770643927065,6249391.659352851,0.8933754827725406,25580,5491,971
2023,동대문구,113337,310.5,85.8,63.96322471920026,359873,172801,18.626015288726855,4579931.0,26.504076943999166,8285277.150682386,0.9819145793784808,42782,4252,6674
2023,동작구,116719,319.8,78.8,68.28365561733737,389714,186675,18.08351765653787,4831571.0,25.882260613365474,8924512.48080909,0.9037246935108252,27441,2345,1261
2023,마포구,135308,370.7,78.8,61.57655127560824,375162,181090,15.43200004264824,5959359.0,32.90827212988017,10736237.260362118,1.1038458675694518,55741,4128,4611
2023,서대문구,97594,267.4,61.0,62.17287948029592,320629,146845,18.12468616375936,4116315.0,28.031700091933672,8542739.081247456,1.0452360877092923,28401,3721,5077
2023,서초구,178090,487.9,138.1,62.70818125666797,412078,169884,15.934119268682142,6555818.0,38.589967271785454,13398923.25069186,1.2936967356983136,70510,4435,11935
2023,성동구,106823,292.7,75.8,63.8495455098621,284766,133089,17.369348868895866,4980856.0,37.42500131490957,8093737.537842414,1.0816943699969066,40674,3165,1535
2023,성북구,123724,339.0,92.4,67.24968478225728,438168,196800,18.35232148399701,5495217.0,27.922850609756097,9983634.52791015,0.9112721798258988,35548,3920,637
2023,송파구,262182,718.3,187.3,59.533835274732816,660025,285927,16.49846596719821,8990011.0,31.4416302063114,17672456.12389232,1.0162551122827832,74893,8800,5384
2023,양천구,115678,316.9,82.1,68.05529141236882,439252,180695,17.374309052662255,4924643.0,27.25389745150668,8721766.583858117,0.907079188706233,38114,6563,1099
2023,영등포구,166688,456.7,133.2,68.96957189479747,397800,190737,16.97058823529412,5731058.0,30.046912764696938,11345815.831818148,1.208910307609147,74558,6282,4588
2023,용산구,208742,571.9,63.2,82.39501394065401,227106,107825,17.50151911442234,3634526.0,33.70763737537677,6765581.624803395,1.1601075544055504,28363,1701,645
2023,은평구,123761,339.1,72.6,59.8233692358659,470869,215721,19.9242252091346,5192988.0,24.07270502176422,10064683.786331205,0.855890412098057,36201,4716,7025
2023,종로구,97419,266.9,79.9,56.0794095607633,150453,72067,19.118262846204463,2677305.0,37.150221321825526,6708105.782299999,1.5484354011965284,46977,1916,20268
2023,중구,132481,363.0,101.7,59.428144413161135,131793,64714,19.667205390271107,3291386.0,50.86049386531508,6341924.602071571,1.8561365027775631,67202,2325,9012
2023,중랑구,96847,265.3,79.9,59.1489669272151,387470,188097,20.377061449918703,4185785.0,22.25333205739592,8206807.947511166,0.8750505401497152,40964,6613,2474
